grid_id,predicted_throughput,num_shelves,num_endpoints
1,0.9860831,240.0,353.0
2,5.720248,240.0,355.0
3,5.7713723,240.0,367.0
4,2.3447387,240.0,372.0
5,2.2328804,240.0,350.0
6,0.6212718,240.0,356.0
7,3.9971836,240.0,367.0
8,5.866578,240.0,357.0
9,5.582821,240.0,352.0
10,2.0658035,240.0,355.0
11,1.2759309,240.0,352.0
12,5.663883,240.0,368.0
13,5.569884,240.0,358.0
14,5.6976485,240.0,364.0
15,4.7025714,240.0,354.0
16,5.6214666,240.0,349.0
17,5.7606087,240.0,361.0
18,3.4610598,240.0,362.0
19,0.8708302,240.0,356.0
20,5.213109,240.0,363.0
21,5.8790665,240.0,364.0
22,5.885109,240.0,354.0
23,5.8201423,240.0,361.0
24,5.6078873,240.0,358.0
25,5.7519565,240.0,350.0
26,4.7323976,240.0,354.0
27,0.96146905,240.0,358.0
28,5.7579317,240.0,348.0
29,5.933366,240.0,358.0
30,5.3740673,240.0,371.0
31,5.9030147,240.0,350.0
32,4.40029,240.0,357.0
33,5.616434,240.0,361.0
34,5.718802,240.0,366.0
35,5.749567,240.0,354.0
36,5.4418874,240.0,357.0
37,2.9082713,240.0,356.0
38,2.7419746,240.0,352.0
39,5.8471093,240.0,372.0
40,5.797996,240.0,359.0
41,5.447736,240.0,365.0
42,5.775868,240.0,366.0
43,5.862043,240.0,361.0
44,4.212049,240.0,352.0
45,2.993542,240.0,364.0
46,5.819717,240.0,361.0
47,5.8650784,240.0,367.0
48,3.1954455,240.0,347.0
49,5.5394506,240.0,357.0
50,5.87936,240.0,373.0
51,5.367585,240.0,367.0
52,5.7177973,240.0,357.0
53,5.786733,240.0,363.0
54,5.598311,240.0,367.0
55,5.862113,240.0,363.0
56,5.6820045,240.0,369.0
57,5.8844995,240.0,348.0
58,5.636899,240.0,355.0
59,3.5894003,240.0,364.0
60,5.6656632,240.0,350.0
61,1.9590628,240.0,342.0
62,5.910392,240.0,361.0
63,5.7157555,240.0,372.0
64,1.4902301,240.0,357.0
65,5.792424,240.0,358.0
66,3.1751533,240.0,361.0
67,5.950384,240.0,364.0
68,5.258469,240.0,347.0
69,5.9131937,240.0,361.0
70,5.5358067,240.0,352.0
71,5.7316117,240.0,369.0
72,5.2180653,240.0,349.0
73,5.9283338,240.0,357.0
74,5.9632926,240.0,362.0
75,5.842719,240.0,370.0
76,1.649033,240.0,362.0
77,5.8316307,240.0,353.0
78,5.8517265,240.0,368.0
79,1.6234338,240.0,349.0
80,5.5928373,240.0,369.0
81,4.58745,240.0,359.0
82,1.5280178,240.0,353.0
83,5.711632,240.0,365.0
84,5.7146087,240.0,366.0
85,5.6654096,240.0,361.0
86,5.6424427,240.0,352.0
87,5.3884554,240.0,352.0
88,1.2325082,240.0,362.0
89,5.7215853,240.0,361.0
90,5.6124196,240.0,360.0
91,5.672345,240.0,360.0
92,1.9631028,240.0,355.0
93,5.6571503,240.0,348.0
94,0.41543517,240.0,357.0
95,1.1199889,240.0,359.0
96,2.6455956,240.0,354.0
97,2.1407743,240.0,356.0
98,0.97192,240.0,362.0
99,1.22744,240.0,348.0
100,5.2011023,240.0,367.0
101,5.226524,240.0,363.0
102,5.8265676,240.0,353.0
103,5.6967607,240.0,361.0
104,5.801953,240.0,369.0
105,5.823863,240.0,366.0
106,5.8818474,240.0,372.0
107,5.8563137,240.0,371.0
108,1.0193886,240.0,358.0
109,1.4515963,240.0,369.0
110,2.7728693,240.0,349.0
111,5.7568083,240.0,356.0
112,5.815778,240.0,356.0
