grid_number,endpoints,throughput,folder
1,353,1.05,run_agents200_endpoints353_grid00001
2,355,5.957,run_agents200_endpoints355_grid00002
3,367,5.751,run_agents200_endpoints367_grid00003
4,372,2.159,run_agents200_endpoints372_grid00004
5,350,2.417,run_agents200_endpoints350_grid00005
6,356,0.556,run_agents200_endpoints356_grid00006
7,367,5.725,run_agents200_endpoints367_grid00007
8,357,5.897,run_agents200_endpoints357_grid00008
9,352,5.763,run_agents200_endpoints352_grid00009
10,355,1.316,run_agents200_endpoints355_grid00010
11,352,1.256,run_agents200_endpoints352_grid00011
12,368,5.587,run_agents200_endpoints368_grid00012
13,358,5.598,run_agents200_endpoints358_grid00013
14,364,5.758,run_agents200_endpoints364_grid00014
15,354,5.353,run_agents200_endpoints354_grid00015
16,349,5.574,run_agents200_endpoints349_grid00016
17,361,5.676,run_agents200_endpoints361_grid00017
18,362,3.124,run_agents200_endpoints362_grid00018
19,356,1.111,run_agents200_endpoints356_grid00019
20,363,5.37,run_agents200_endpoints363_grid00020
22,354,5.924,run_agents200_endpoints354_grid00022
23,361,6.005,run_agents200_endpoints361_grid00023
24,358,5.702,run_agents200_endpoints358_grid00024
25,350,5.831,run_agents200_endpoints350_grid00025
26,354,5.06,run_agents200_endpoints354_grid00026
27,358,0.678,run_agents200_endpoints358_grid00027
28,348,5.736,run_agents200_endpoints348_grid00028
29,358,5.929,run_agents200_endpoints358_grid00029
30,371,5.463,run_agents200_endpoints371_grid00030
32,357,4.365,run_agents200_endpoints357_grid00032
33,361,5.71,run_agents200_endpoints361_grid00033
34,366,5.826,run_agents200_endpoints366_grid00034
35,354,5.703,run_agents200_endpoints354_grid00035
36,357,5.632,run_agents200_endpoints357_grid00036
37,356,2.995,run_agents200_endpoints356_grid00037
38,352,2.661,run_agents200_endpoints352_grid00038
39,372,5.839,run_agents200_endpoints372_grid00039
40,359,5.691,run_agents200_endpoints359_grid00040
41,365,5.668,run_agents200_endpoints365_grid00041
42,366,5.801,run_agents200_endpoints366_grid00042
43,361,5.953,run_agents200_endpoints361_grid00043
44,352,5.311,run_agents200_endpoints352_grid00044
45,364,4.232,run_agents200_endpoints364_grid00045
46,361,5.846,run_agents200_endpoints361_grid00046
47,367,5.877,run_agents200_endpoints367_grid00047
48,347,3.398,run_agents200_endpoints347_grid00048
49,357,5.508,run_agents200_endpoints357_grid00049
50,373,5.901,run_agents200_endpoints373_grid00050
51,367,5.255,run_agents200_endpoints367_grid00051
